SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_elder1,edu_elder1,age_elder2,edu_elder2,age_elder3,edu_elder3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-06T16:46:45.766Z,2023-08-04T10:16:41.108+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,55,7,58,7,,,1,5,,5,4,1,1,1,5,5,5,5,5,2,3,4,4,1,1,4,1,2,5,,1,2,1,1,23,15,10,,0,0,0,,,No comments,Nice interview,,uuid:43bfac81-95e1-4f74-accd-cca366c0b210,uuid:43bfac81-95e1-4f74-accd-cca366c0b210,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:43.369Z,2023-08-04T09:43:39.412+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,58,7,55,7,,,1,5,,3,4,2,2,1,5,4,3,4,4,2,3,3,5,2,2,3,3,2,4,,1,2,1,2,23,13,5,,0,0,0,,,What is the main objective of this study?,Good interview,,uuid:831b4078-1e17-4f74-905a-16b991df1304,uuid:831b4078-1e17-4f74-905a-16b991df1304,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:40.050Z,2023-08-03T13:48:11.856+03:00,,03/08/2023,1,OK,1,,2,1,1,0,,58,7,55,7,53,7,,,1,5,,3,4,1,1,2,4,5,5,1,4,2,2,4,2,2,4,2,1,1,2,,1,2,1,1,20,9,8 1 11,,0,0,0,,,No comments,Good interview,,uuid:baf9a129-c4fe-41a8-8a7c-d7c9c29bbf11,uuid:baf9a129-c4fe-41a8-8a7c-d7c9c29bbf11,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:38.841Z,2023-08-03T13:16:32.977+03:00,,03/08/2023,1,OK,1,,2,1,1,1,,58,7,55,7,53,7,,,1,5,,2,5,3,4,2,2,3,5,2,4,5,2,2,4,2,2,3,2,3,1,,1,2,1,3,21,9,7,,0,0,1,,,No comments,The interview went well,,uuid:d4450d56-38f8-4811-a27d-c0b527cdeab2,uuid:d4450d56-38f8-4811-a27d-c0b527cdeab2,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:37.068Z,2023-08-03T12:50:24.283+03:00,,03/08/2023,1,OK,1,,2,1,1,0,,58,7,55,7,53,7,,,1,5,,3,4,5,2,5,1,1,1,2,1,5,1,3,1,4,1,1,5,5,1,,1,2,1,3,21,7,7,,0,0,0,,,No comments,Good interview,,uuid:4d815d50-fdf8-4447-9ce4-092a4b0a3bba,uuid:4d815d50-fdf8-4447-9ce4-092a4b0a3bba,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:35.106Z,2023-08-03T12:18:22.697+03:00,,03/08/2023,1,OK,1,,2,1,1,0,,58,7,55,7,53,7,,,1,5,,1,5,2,4,1,4,5,4,4,5,4,1,4,4,2,1,5,1,1,2,,1,2,1,2,23,10,8 1,,0,0,0,,,I need the feedback of this study,The interview was good,,uuid:95a90284-16d3-4b61-b60e-fcc0ef45686e,uuid:95a90284-16d3-4b61-b60e-fcc0ef45686e,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:31.233Z,2023-08-03T11:59:02.806+03:00,,03/08/2023,,,1,,2,1,1,0,,58,7,53,7,55,7,,,1,5,,1,5,3,4,4,2,3,4,1,2,2,3,3,4,2,1,4,2,4,1,,1,2,1,1,20,7,8,,0,0,0,,,No comments,Nice interview,,uuid:b8699f90-b624-4e99-a678-ed8d50306998,uuid:b8699f90-b624-4e99-a678-ed8d50306998,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:30.299Z,2023-08-03T11:30:41.037+03:00,,03/08/2023,1,,1,,1,2,1,0,,55,7,53,7,58,7,,,1,1,,1,5,4,2,2,1,4,2,5,4,4,1,4,5,4,1,2,4,4,5,,1,2,1,3,18,3,8,,0,0,0,,,No comments,The interviewee was too shy in answering sensitive questions,,uuid:55ff3543-c075-4747-8adc-33e2e5b06f3a,uuid:55ff3543-c075-4747-8adc-33e2e5b06f3a,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-03T18:26:29.057Z,2023-08-03T10:55:12.405+03:00,,03/08/2023,1,,1,,2,3,1,0,,53,7,55,7,58,7,,,1,5,,1,5,3,5,1,4,5,5,2,5,2,2,1,5,1,1,1,1,2,5,,1,2,1,2,28,7,1,,1,1,2,,,No comments,Good interview,,uuid:29a054df-aaf8-417a-aacb-db4b1f059618,uuid:29a054df-aaf8-417a-aacb-db4b1f059618,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:30.110Z,2023-08-02T13:54:26.372+03:00,,02/08/2023,1,,1,,1,1,1,0,,62,7,52,7,69,7,,,1,5,,5,4,4,4,1,5,5,5,4,5,1,4,5,5,2,4,2,5,5,4,,1,2,1,2,27,15,4,,0,0,0,,,What is the the objectives of this study?,The interview was good.,,uuid:c2e3a129-51e5-4d87-9b49-bfd7ae0cca8f,uuid:c2e3a129-51e5-4d87-9b49-bfd7ae0cca8f,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:28.180Z,2023-08-02T12:47:33.698+03:00,,02/08/2023,1,,1,,1,2,1,0,,62,7,69,7,52,7,,,1,5,,1,5,1,2,1,4,5,2,2,4,1,1,2,4,1,1,1,1,2,4,,1,2,1,3,19,11,1 2 8,,0,0,0,,,"You as TAZAMa, you are doing a good thing in this community",Good interview,,uuid:fc646298-8701-4e2a-b842-8bb3a4631f4a,uuid:fc646298-8701-4e2a-b842-8bb3a4631f4a,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:26.198Z,2023-08-02T12:15:31.963+03:00,,02/08/2023,1,,1,,2,2,1,0,,62,7,52,7,69,7,,,1,5,,1,4,2,1,1,3,5,5,5,5,2,1,5,4,1,4,2,2,4,4,,1,2,1,1,19,11,8 1,,3,0,0,,,What is or are the activities of TAZAMA?,Nice interview,,uuid:d9908374-76ef-4cff-83c7-35de1fe89fa9,uuid:d9908374-76ef-4cff-83c7-35de1fe89fa9,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:24.158Z,2023-08-02T11:23:06.778+03:00,,02/08/2023,1,OK,1,,2,1,1,0,,69,7,62,7,52,7,,,1,5,,1,5,4,5,1,2,4,5,5,5,5,2,2,5,1,5,1,4,4,2,,1,2,2,3,19,7,11 1,,0,0,0,,,No comments,The interview went well.,,uuid:f9efc6d5-1b69-45f7-9b10-cef70ea3afc9,uuid:f9efc6d5-1b69-45f7-9b10-cef70ea3afc9,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:21.270Z,2023-08-02T10:57:52.675+03:00,,02/08/2023,1,,1,,2,1,1,0,,69,7,62,7,52,7,,,1,5,,2,5,4,4,4,1,2,1,2,1,5,1,1,1,1,1,5,4,5,1,,1,2,2,3,19,7,11 1,,0,0,0,,,No comments,Nice interview,,uuid:2dd8de4a-1c1e-44a5-8ea4-b3153cd0be8b,uuid:2dd8de4a-1c1e-44a5-8ea4-b3153cd0be8b,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-02T17:25:18.932Z,2023-08-02T10:13:16.321+03:00,,02/08/2023,1,OK,1,,1,1,1,0,,62,7,52,6,69,7,,,1,5,,1,4,4,1,5,2,4,1,2,1,2,5,1,1,2,1,4,2,5,2,,1,2,1,1,29,7,8 2 1,,0,1,2,,,No comments,Good interview,,uuid:10e36513-3ec6-4195-9725-c2d83f78442d,uuid:10e36513-3ec6-4195-9725-c2d83f78442d,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:32.764Z,2023-08-01T13:25:46.536+03:00,,01/08/2023,1,OK,1,,2,2,1,0,,57,7,62,7,52,6,,,1,5,,3,4,1,1,1,3,4,5,3,4,4,2,3,5,1,1,4,1,1,5,,1,2,1,1,22,11,8,,0,0,0,,,No comments,The interview was good,,uuid:e98f9584-cd41-4bef-879d-7888c7f9a20d,uuid:e98f9584-cd41-4bef-879d-7888c7f9a20d,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:31.176Z,2023-08-01T12:53:53.979+03:00,,01/08/2023,1,OK,1,,1,2,1,0,,62,7,57,7,52,6,,,1,5,,1,5,1,1,1,4,4,5,2,5,1,1,4,4,1,1,5,1,4,5,,1,2,2,2,23,11,8,,0,0,0,,,Why these questions are asking only young men? Why young female not?,Good interview.,,uuid:f16a8462-6a8d-46b5-8709-ae06941acd5f,uuid:f16a8462-6a8d-46b5-8709-ae06941acd5f,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:30.274Z,2023-08-01T12:07:35.848+03:00,,01/08/2023,1,OK,1,,2,3,1,1,,62,7,57,7,52,6,,,1,5,,1,5,5,4,1,5,5,1,2,1,5,5,1,1,5,2,1,2,5,1,,1,2,1,3,19,9,8,,0,0,0,,,No comments,Interview went well,,uuid:52ce0320-7b9f-4e12-b865-c9aad1106ddc,uuid:52ce0320-7b9f-4e12-b865-c9aad1106ddc,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:29.248Z,2023-08-01T11:46:01.697+03:00,,01/08/2023,1,OK,1,,2,3,1,0,,62,7,57,7,52,6,,,1,5,,4,4,1,2,1,5,5,5,3,4,2,3,4,4,2,1,3,1,2,4,,1,2,1,2,19,11,2,,0,0,0,,,No comments,Interview was good,,uuid:b8d01894-00c0-4ef6-bc9b-236c9fa4e9ec,uuid:b8d01894-00c0-4ef6-bc9b-236c9fa4e9ec,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:27.810Z,2023-08-01T11:00:14.463+03:00,,,1,OK,1,,2,2,1,0,,52,6,57,7,62,7,,,1,5,,1,5,1,1,2,4,4,4,1,5,3,3,4,1,2,1,4,3,1,2,,1,2,1,3,23,4,4 11,,1,0,0,,,No comments,Good interview,,uuid:2cbc4b20-90d6-43c3-9112-facf16fcb0dc,uuid:2cbc4b20-90d6-43c3-9112-facf16fcb0dc,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:26.217Z,2023-08-01T10:05:04.438+03:00,,01/08/2023,1,OK,1,,2,1,1,0,,57,7,52,6,62,7,,,1,5,,3,5,1,1,1,1,5,5,1,5,5,1,1,4,5,2,5,5,5,5,,1,2,1,2,22,7,2,,0,0,0,,,No comments,Nice interview,,uuid:6e998a3c-181e-4ce4-ad64-adf585d27969,uuid:6e998a3c-181e-4ce4-ad64-adf585d27969,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-01T19:29:25.085Z,2023-08-01T09:37:25.885+03:00,,01/08/2023,1,,1,,2,1,1,0,,52,6,62,7,57,7,,,1,5,,2,5,2,1,1,1,4,1,5,5,5,2,5,5,1,1,1,1,2,5,,1,2,1,1,22,9,11 2,,0,0,0,,,What is the meaning of TAZAMA?,The interview was good,,uuid:28d32930-9dd1-4dbb-bb7d-0dd943a19698,uuid:28d32930-9dd1-4dbb-bb7d-0dd943a19698,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-07-31T18:10:06.446Z,2023-07-31T13:51:24.647+03:00,,31/07/2023,1,OK,1,,2,2,1,0,,62,7,57,7,52,6,,,1,5,,1,5,3,4,1,1,3,1,1,1,5,1,1,3,3,1,3,2,3,1,,1,2,2,3,24,11,1 2 3,,0,0,0,,,No comments,The interview went well,,uuid:1e14b377-6661-4b77-aa7f-85acb856230b,uuid:1e14b377-6661-4b77-aa7f-85acb856230b,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,204[encrypted:AYmqQpxB]
2023-07-31T18:10:05.438Z,2023-07-31T13:03:45.544+03:00,,31/07/2023,1,OK,1,,1,2,1,0,,62,7,52,6,57,7,,,1,5,,1,4,1,4,4,4,4,5,1,1,4,2,1,5,1,2,5,2,1,4,,1,2,2,3,18,5,1 8,,0,0,0,,,No comments,The interview was good although the respondent was slow in answering the questions,,uuid:93af556c-828b-4aa9-ad2b-b616f67f15c6,uuid:93af556c-828b-4aa9-ad2b-b616f67f15c6,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,204[encrypted:AYmqQpxB]
2023-07-31T18:10:04.437Z,2023-07-31T12:24:09.803+03:00,,31/07/2023,1,OK,1,,1,2,1,1,,62,7,52,6,579,7,,,1,5,,2,5,2,2,2,4,5,5,4,5,2,4,4,4,2,2,5,4,4,4,,1,2,1,1,25,11,3 2 1,,0,0,1,,,Is this interview involve also females?,Nice interview.,,uuid:f77b367c-43d9-4c56-9844-24c9f6e37eb0,uuid:f77b367c-43d9-4c56-9844-24c9f6e37eb0,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,204[encrypted:AYmqQpxB]
2023-07-31T18:10:03.429Z,2023-07-31T11:49:20.407+03:00,,31/07/2023,1,OK,1,,1,1,1,1,,62,7,57,7,52,6,,,1,5,,1,4,2,3,1,3,4,5,5,5,5,3,4,4,4,2,4,4,2,4,,1,2,1,1,19,10,4 1,,0,0,0,,,I need feedback of this interview,The interview was good,,uuid:dab6e28c-5907-4cf1-9007-18c22030d5c6,uuid:dab6e28c-5907-4cf1-9007-18c22030d5c6,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,204[encrypted:AYmqQpxB]
