SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_cityman1,edu_cityman1,age_cityman2,edu_cityman2,age_cityman3,edu_cityman3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-17T16:43:17.985Z,2023-08-17T12:11:56.229+03:00,,17/08/2023,1,OK,1,,1,1,1,1,,40,15,38,15,37,15,,,1,5,,2,5,1,1,1,5,4,4,4,4,2,4,4,4,2,2,2,2,4,4,,1,2,1,1,27,11,7 4,,1,0,0,,,No,No,,uuid:62eee9c2-9c8c-4cfb-915c-6703ce373325,uuid:62eee9c2-9c8c-4cfb-915c-6703ce373325,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:16.928Z,2023-08-17T11:50:25.585+03:00,,17/08/2023,1,OK,1,,2,1,1,1,,40,15,38,15,37,15,,,1,5,,1,4,4,4,2,5,5,5,4,4,5,2,3,4,2,2,3,2,4,4,,1,2,1,3,26,15,4,,0,0,0,,,No comments ,No comments ,,uuid:c107ceec-0d66-4f91-bbb3-665af17d74f2,uuid:c107ceec-0d66-4f91-bbb3-665af17d74f2,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:15.834Z,2023-08-17T11:06:41.310+03:00,,17/08/2023,1,,1,,1,2,1,0,,40,15,37,15,24,15,,,1,5,,1,4,4,2,2,2,4,4,2,2,4,4,3,2,2,2,4,2,4,4,,1,2,1,2,20,9,10,,0,0,0,,,No comment ,NIL ,,uuid:a1802bae-4ea7-4945-bc9d-c69f16f1e165,uuid:a1802bae-4ea7-4945-bc9d-c69f16f1e165,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:14.824Z,2023-08-17T10:54:29.000+03:00,,17/08/2023,1,,1,,1,3,1,0,,38,15,24,15,40,15,,,1,5,,4,5,2,2,1,5,5,4,5,5,4,3,3,4,2,2,5,1,3,3,,1,2,2,3,20,14,5,,0,0,0,,,No comment ,Well Cooperate ,,uuid:5a8a5188-b8d0-4506-a691-7949bf71849e,uuid:5a8a5188-b8d0-4506-a691-7949bf71849e,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:13.732Z,2023-08-17T10:37:17.468+03:00,,17/08/2023,1,OK,1,,2,1,1,0,,24,15,37,15,38,15,,,1,1,,2,2,4,2,2,4,5,4,4,4,2,4,4,4,2,4,4,2,2,4,,1,2,1,1,21,11,4,,0,0,0,,,No,No,,uuid:4bb7b958-4178-42c1-8a52-5268f18c5e65,uuid:4bb7b958-4178-42c1-8a52-5268f18c5e65,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:12.531Z,2023-08-17T10:15:34.045+03:00,,17/08/2023,1,OK,1,,1,1,1,1,,40,15,38,15,37,15,,,1,5,,2,5,2,2,1,5,5,5,3,5,5,2,4,4,1,2,5,2,3,4,,1,2,1,1,27,15,4,,0,0,0,,,No comments ,No comments ,,uuid:878b499d-73d8-4ca9-a3b2-30d68de56fa5,uuid:878b499d-73d8-4ca9-a3b2-30d68de56fa5,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:10.543Z,2023-08-17T09:53:15.363+03:00,,17/08/2023,1,,1,,2,3,1,0,,24,0,40,15,37,15,,,1,5,,2,4,5,2,2,4,4,4,4,4,4,2,3,4,2,4,4,4,4,4,,1,2,1,2,20,11,4,,0,0,0,,,No comment ,NIL ,,uuid:ecf86b89-cf22-4ed1-8c98-7555e4d1a336,uuid:ecf86b89-cf22-4ed1-8c98-7555e4d1a336,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:09.183Z,2023-08-17T09:39:52.972+03:00,,17/08/2023,1,OK,1,,1,1,1,1,,40,15,38,15,37,15,,,1,5,,1,5,2,1,1,4,5,4,3,5,2,2,3,5,2,5,2,1,2,4,,1,2,1,2,22,11,2,,0,0,0,,,No comments ,No comments ,,uuid:c631695d-178e-472c-aef6-7e7cacea16e5,uuid:c631695d-178e-472c-aef6-7e7cacea16e5,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:07.881Z,2023-08-17T09:26:14.836+03:00,,17/08/2023,1,OK,1,,1,4,1,1,,40,15,38,15,37,15,,,1,5,,2,4,1,1,1,4,5,4,2,4,2,2,4,4,2,2,4,4,2,4,,1,2,2,1,22,11,7,,0,0,0,,,No comments ,No comments ,,uuid:5955e718-a653-47c0-8d8c-acaaae44f17d,uuid:5955e718-a653-47c0-8d8c-acaaae44f17d,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-15T13:27:21.688Z,2023-08-15T13:12:17.110+03:00,,15/08/2023,1,OK,1,,1,4,1,0,,40,15,38,15,37,15,,,1,5,,1,4,2,1,2,2,4,4,5,4,2,2,4,2,2,1,4,3,1,2,,1,2,2,3,21,7,7,,0,0,0,,,No comments ,No comments ,,uuid:cf17ca3c-ae8a-4c57-9a07-b8168722461d,uuid:cf17ca3c-ae8a-4c57-9a07-b8168722461d,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-15T13:27:20.675Z,2023-08-15T12:48:27.506+03:00,,15/08/2023,1,OK,1,,1,4,1,0,,40,15,38,15,37,15,,,1,5,,2,5,2,2,1,2,4,2,4,4,5,3,5,2,2,3,5,2,2,4,,1,2,2,3,25,0,7,,1,0,1,,,No comments ,No comments ,,uuid:08f4c429-aba2-4e01-8208-6a9105d68000,uuid:08f4c429-aba2-4e01-8208-6a9105d68000,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-15T13:27:18.744Z,2023-08-15T12:16:49.461+03:00,,15/08/2023,1,OK,1,,1,4,1,0,,40,15,38,15,37,15,,,1,5,,2,3,2,1,2,5,5,3,2,5,2,4,4,2,2,2,1,2,2,3,,1,2,2,3,25,7,0,,0,0,0,,,No comments ,No comments ,,uuid:e50c386f-9a8f-4804-a94b-dd14c673c3cb,uuid:e50c386f-9a8f-4804-a94b-dd14c673c3cb,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-15T13:27:17.628Z,2023-08-15T12:01:53.917+03:00,,15/08/2023,1,OK,1,,1,1,1,0,,40,15,38,15,37,15,,,1,5,,2,4,4,1,1,3,4,5,5,4,2,2,4,5,2,2,5,3,4,4,,1,2,1,1,25,11,2,,1,0,2,,,No comments ,No comments ,,uuid:55e2fe9a-f242-4311-a8a2-09ebd83e96d8,uuid:55e2fe9a-f242-4311-a8a2-09ebd83e96d8,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
