SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-21T13:03:20.328Z,2023-08-21T10:22:31.197+03:00,,21/08/2023,1,OK,1,,1,1,1,0,,,1,5,,5,4,2,1,1,5,5,4,4,4,5,2,4,5,1,1,2,3,3,5,,1,2,24,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:42850a28-ae31-4cc0-8277-0e03d6ade70a,uuid:42850a28-ae31-4cc0-8277-0e03d6ade70a,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-21T13:03:18.480Z,2023-08-21T10:01:31.453+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,4,4,4,1,4,5,5,3,4,4,2,3,2,4,1,2,5,5,1,,1,2,23,7,8,,1,0,1,,,No Comment ,He replied well ,,uuid:6e63643e-c315-4023-ac5a-33e352b52d7d,uuid:6e63643e-c315-4023-ac5a-33e352b52d7d,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-21T13:03:16.516Z,2023-08-21T09:46:17.625+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,,1,5,,5,4,2,1,1,5,5,4,4,3,2,4,5,3,2,2,3,1,2,1,,1,2,23,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:fefbac5d-d54c-4810-bab0-04993e3d8dd0,uuid:fefbac5d-d54c-4810-bab0-04993e3d8dd0,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:56.494Z,2023-08-18T13:57:14.275+03:00,,18/08/2023,1,OK,1,,1,2,1,0,,,1,5,,1,3,2,2,1,4,5,3,3,4,4,3,2,4,2,3,4,1,2,5,,1,2,24,7,8,,0,0,1,,,No Comment ,He replied well ,,uuid:b2cdf6bc-efa6-4708-82d8-4a3461a6c243,uuid:b2cdf6bc-efa6-4708-82d8-4a3461a6c243,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:54.646Z,2023-08-18T13:40:11.997+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,,1,5,,2,3,2,2,1,4,3,3,3,5,3,3,4,4,2,1,4,1,5,3,,1,2,26,7,2,,1,0,2,,,No Comment ,He replied well ,,uuid:68bfa52c-27ac-4f97-b4c3-f6dea2c153fd,uuid:68bfa52c-27ac-4f97-b4c3-f6dea2c153fd,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:52.774Z,2023-08-18T13:02:07.319+03:00,,18/08/2023,1,OK,1,,2,3,1,0,,,1,5,,4,5,4,3,1,5,4,5,5,2,3,2,4,3,3,4,4,5,4,3,,1,2,30,11,2,,1,0,1,,,No Comment ,He replied well ,,uuid:4ac336e5-dd47-4841-ada4-48f0332dc1d9,uuid:4ac336e5-dd47-4841-ada4-48f0332dc1d9,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:50.860Z,2023-08-18T11:54:47.247+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,,1,5,,3,3,2,2,4,4,3,3,2,4,3,2,5,4,2,1,2,3,3,4,,1,2,24,7,2,,0,0,0,,,No Comment ,He replied well ,,uuid:660cee53-7b1c-4ea0-903b-4befdd881e4a,uuid:660cee53-7b1c-4ea0-903b-4befdd881e4a,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:49.001Z,2023-08-18T11:31:54.889+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,3,2,2,1,3,5,3,2,1,4,3,4,3,4,1,4,2,5,2,,1,2,23,7,2,,0,0,1,,,No Comment ,He replied well ,,uuid:36794d97-9602-41de-8995-1fcdef9b7ea7,uuid:36794d97-9602-41de-8995-1fcdef9b7ea7,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:47.129Z,2023-08-18T11:01:11.636+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,,1,5,,2,5,5,4,4,5,4,5,3,2,4,2,1,5,2,4,4,5,5,1,,1,2,18,7,2,,0,0,0,,,No Comment ,He replied well ,,uuid:9ed637a4-3349-4aac-addc-735f4ccc16b9,uuid:9ed637a4-3349-4aac-addc-735f4ccc16b9,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:45.235Z,2023-08-18T10:48:50.546+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,,1,5,,3,4,1,1,2,5,3,5,3,3,3,3,5,5,1,1,3,3,4,5,,1,2,25,15,2,,0,0,1,,,No Comment ,He replied well ,,uuid:6090ef10-c3b3-4fc1-acc2-1cbc565fab10,uuid:6090ef10-c3b3-4fc1-acc2-1cbc565fab10,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:43.349Z,2023-08-18T10:32:33.749+03:00,,18/08/2023,1,OK,1,,1,3,1,0,,,1,5,,2,1,5,1,1,4,5,3,5,4,2,2,4,4,2,1,2,1,2,5,,1,2,24,11,2,,0,0,1,,,No Comment ,He replied well ,,uuid:76491bfe-bf9d-46ef-8ada-f40a42e1a9d4,uuid:76491bfe-bf9d-46ef-8ada-f40a42e1a9d4,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
